N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1868.0,N2 US 500 ETN(H),15575.0,보합0,0.00%,0.0,15575.0,15575.0,15575.0
1869.0,한투 인버스 은 선물 ETN,10885.0,보합0,0.00%,0.0,10885.0,10885.0,10885.0
1870.0,메리츠 인버스 3X 미국채10년 ETN,54375.0,상승  20,+0.04%,0.0,54405.0,54405.0,54375.0
1871.0,한투 블룸버그 인도네시아 대표원자재 ETN,10875.0,상승  75,+0.69%,0.0,10865.0,10960.0,10690.0
1872.0,N2 인버스 레버리지 WTI원유 선물 ETN(H),72.0,상승  1,+1.41%,0.0,72.0,73.0,72.0
1873.0,삼성 인버스 2X 항셍테크 ETN(H) B,10750.0,하락  105,-0.97%,0.0,10795.0,10805.0,10550.0
1874.0,KOSEF 미국블록버스터바이오테크의약품+,9770.0,하락  50,-0.51%,0.0,9820.0,9940.0,9770.0
1875.0,메리츠 인도 루피화 ETN,10735.0,보합0,0.00%,0.0,10735.0,10735.0,10735.0
1876.0,메리츠 인버스 국채10년 ETN,10720.0,보합0,0.00%,0.0,10720.0,10720.0,10720.0
1877.0,TIGER 글로벌자원생산기업(합성 H),13330.0,하락  20,-0.15%,0.0,13680.0,13680.0,13315.0
1878.0,신한 인버스 금 선물 ETN(H),5330.0,하락  15,-0.28%,0.0,5325.0,5330.0,5320.0
1879.0,메리츠 인버스 3X 미국채30년 ETN,53205.0,하락  655,-1.22%,0.0,53615.0,53685.0,53205.0
1880.0,메리츠 멕시코 페소화 ETN,10640.0,보합0,0.00%,0.0,10640.0,10640.0,10640.0
1881.0,KB 레버리지 KOSDAQ 150 선물 ETN,21240.0,하락  385,-1.78%,0.0,21585.0,21945.0,20925.0
1882.0,N2 레버리지 국채30년 ETN,21220.0,보합0,0.00%,0.0,21220.0,21220.0,21220.0
1883.0,HANARO K-뷰티,10610.0,하락  170,-1.58%,0.0,10735.0,10850.0,10490.0
1884.0,한투 인버스 2X 은 선물 ETN,10580.0,하락  55,-0.52%,0.0,10620.0,10620.0,10580.0
1885.0,한투 인버스 금 선물 ETN,10575.0,하락  15,-0.14%,0.0,10575.0,10575.0,10575.0
1886.0,삼성 인버스 구리 선물 ETN(H),10570.0,하락  85,-0.80%,0.0,10560.0,10570.0,10555.0
1887.0,KB 미국채 10년 ETN,10475.0,보합0,0.00%,0.0,10475.0,10475.0,10475.0
1888.0,한투 레버리지국채30년 ETN,20945.0,보합0,0.00%,0.0,20945.0,20945.0,20945.0
1889.0,메리츠 인버스 2X 국채10년 ETN,10460.0,상승  60,+0.58%,0.0,10515.0,10515.0,10460.0
1890.0,ITF 200,32140.0,하락  100,-0.31%,0.0,32105.0,32175.0,31795.0
1891.0,KoAct 미국뇌질환치료제액티브,10410.0,상승  160,+1.56%,0.0,10695.0,10695.0,10370.0
1892.0,TIGER MSCI KOREA ESG리더스,8460.0,상승  30,+0.36%,0.0,8400.0,8460.0,8385.0
1893.0,KODEX MSCI Korea,14860.0,보합0,0.00%,0.0,14860.0,14890.0,14760.0
1894.0,메리츠 S&P 유럽탄소배출권 선물 ETN(H),10360.0,보합0,0.00%,0.0,10360.0,10360.0,10360.0
1895.0,메리츠 KAP 일본 엔화 ETN,10340.0,상승  25,+0.24%,0.0,10315.0,10455.0,10315.0
1896.0,RISE 200고배당커버드콜ATM,7950.0,하락  155,-1.91%,0.0,8105.0,8105.0,7915.0
1897.0,TIGER 미국달러선물레버리지,17170.0,상승  135,+0.79%,0.0,17105.0,17555.0,17070.0
1898.0,SOL 반도체전공정,6645.0,하락  5,-0.08%,0.0,6710.0,6815.0,6600.0
1899.0,삼성 일본니케이225선물 ETN(H),10295.0,상승  60,+0.59%,0.0,10295.0,10295.0,10295.0
1900.0,한투 S&P 유럽탄소배출권 선물 ETN(H),10270.0,보합0,0.00%,0.0,10270.0,10270.0,10270.0
1901.0,KODEX 기계장비,6845.0,하락  65,-0.94%,0.0,6930.0,6930.0,6770.0
1902.0,KB 미국채 30년 ETN,10195.0,상승  125,+1.24%,0.0,10195.0,10195.0,10195.0
1903.0,RISE 중국MSCI China(H),8485.0,하락  25,-0.29%,0.0,8545.0,8575.0,8465.0
1904.0,에셋플러스 글로벌대장장이액티브,19555.0,하락  5,-0.03%,0.0,19700.0,19765.0,19535.0
1905.0,신한 S&P 유로 선물 ETN(H),10145.0,보합0,0.00%,0.0,10145.0,10145.0,10145.0
1906.0,메리츠 KAP 인버스 2X 일본 엔화 ETN,20280.0,하락  95,-0.47%,0.0,20225.0,20280.0,19870.0
1907.0,한투 인버스 2X 일본 엔선물 ETN,10115.0,하락  190,-1.84%,0.0,10260.0,10260.0,10030.0
1908.0,히어로즈 미국달러SOFR금리액티브(합성),12475.0,상승  15,+0.12%,0.0,12530.0,12635.0,12475.0
1909.0,KB 레버리지 미국채 10년 ETN,20185.0,보합0,0.00%,0.0,20185.0,20185.0,20185.0
